Subcarrier_0,Subcarrier_1,Subcarrier_2,Subcarrier_3,Subcarrier_4,Subcarrier_5,Subcarrier_6,Subcarrier_7,Subcarrier_8,Subcarrier_9,Subcarrier_10,Subcarrier_11,Subcarrier_12,Subcarrier_13,Subcarrier_14,Subcarrier_15,Subcarrier_16,Subcarrier_17,Subcarrier_18,Subcarrier_19,Subcarrier_20,Subcarrier_21,Subcarrier_22,Subcarrier_23,Subcarrier_24,Subcarrier_25,Subcarrier_26,Subcarrier_27,Subcarrier_28,Subcarrier_29,Subcarrier_30,Subcarrier_31,Subcarrier_32,Subcarrier_33,Subcarrier_34,Subcarrier_35,Subcarrier_36,Subcarrier_37,Subcarrier_38,Subcarrier_39,Subcarrier_40,Subcarrier_41,Subcarrier_42,Subcarrier_43,Subcarrier_44,Subcarrier_45,Subcarrier_46,Subcarrier_47,Subcarrier_48,Subcarrier_49,Subcarrier_50,Subcarrier_51,Subcarrier_52,Subcarrier_53,Subcarrier_54,Subcarrier_55,Subcarrier_56,Subcarrier_57,Subcarrier_58,Subcarrier_59,Subcarrier_60,Subcarrier_61,Subcarrier_62,Subcarrier_63
147.27525250360293,24.0,32.202484376209235,32.526911934581186,33.421549934136806,33.421549934136806,33.97057550292606,25.238858928247925,28.30194339616981,29.410882339705484,21.95449840010015,10.63014581273465,9.219544457292887,7.615773105863909,8.94427190999916,15.620499351813308,13.45362404707371,16.64331697709324,21.93171219946131,21.2602916254693,21.095023109728988,26.1725046566048,18.681541692269406,30.805843601498726,21.93171219946131,12.083045973594572,16.1245154965971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.396078054371138,15.297058540778355,21.02379604162864,17.46424919657298,13.0,7.280109889280518,6.082762530298219,2.23606797749979,1.4142135623730951,12.041594578792296,9.486832980505138,13.45362404707371,19.235384061671343,30.0,25.0,33.60059523282288,32.01562118716424,27.586228448267445,29.068883707497267,26.40075756488817,23.430749027719962,12.727922061357855,9.219544457292887,12.806248474865697,10.198039027185569,15.231546211727817
64.0,4.0,32.64965543462902,37.12142238654117,30.870698080866262,38.07886552931954,39.56008088970496,33.421549934136806,33.83784863137726,28.42534080710379,26.40075756488817,17.804493814764857,19.209372712298546,14.560219778561036,16.0312195418814,16.15549442140351,13.152946437965905,16.401219466856727,18.867962264113206,23.021728866442675,22.67156809750927,24.08318915758459,20.615528128088304,19.849433241279208,19.79898987322333,16.97056274847714,15.556349186104045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.029386365926403,21.02379604162864,19.026297590440446,16.1245154965971,17.26267650163207,14.317821063276353,8.54400374531753,8.54400374531753,3.605551275463989,4.47213595499958,10.770329614269007,14.212670403551895,16.15549442140351,24.515301344262525,29.614185789921695,28.284271247461902,31.953090617340916,31.064449134018133,30.083217912982647,35.12833614050059,25.495097567963924,24.0,25.179356624028344,19.1049731745428,15.811388300841896,19.209372712298546
147.27525250360293,24.0,32.0,34.52535300326414,35.90264614203248,32.984845004941285,35.90264614203248,34.785054261852174,27.784887978899608,24.698178070456937,18.027756377319946,20.396078054371138,11.180339887498949,12.36931687685298,8.246211251235321,10.816653826391969,12.041594578792296,16.64331697709324,18.867962264113206,18.973665961010276,22.847319317591726,18.027756377319946,17.0,19.313207915827967,16.55294535724685,12.36931687685298,11.40175425099138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0312195418814,17.11724276862369,17.11724276862369,16.1245154965971,14.142135623730951,11.180339887498949,8.06225774829855,5.385164807134504,5.830951894845301,11.661903789690601,12.083045973594572,13.92838827718412,18.384776310850235,20.615528128088304,23.769728648009426,28.792360097775937,29.068883707497267,32.55764119219941,31.400636936215164,29.017236257093817,25.019992006393608,20.0,22.02271554554524,15.231546211727817,17.204650534085253,17.08800749063506
147.27525250360293,24.0,30.805843601498726,31.906112267087632,35.11409973215888,37.44329045369811,32.2490309931942,31.38470965295043,30.01666203960727,25.553864678361276,16.97056274847714,11.180339887498949,13.416407864998739,9.848857801796104,8.246211251235321,11.180339887498949,11.661903789690601,11.40175425099138,15.264337522473747,17.88854381999832,19.4164878389476,18.439088914585774,18.384776310850235,16.97056274847714,17.08800749063506,12.649110640673518,11.180339887498949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.892443989449804,13.92838827718412,13.601470508735444,12.206555615733702,7.211102550927978,7.615773105863909,9.433981132056603,8.06225774829855,1.4142135623730951,6.324555320336759,8.54400374531753,14.142135623730951,15.811388300841896,16.76305461424021,27.073972741361768,27.018512172212592,29.068883707497267,29.017236257093817,29.614185789921695,24.186773244895647,25.632011235952593,18.110770276274835,20.024984394500787,15.033296378372908,16.278820596099706,21.633307652783937
147.27525250360293,24.0,29.410882339705484,29.732137494637012,30.0,28.600699292150182,25.495097567963924,29.410882339705484,34.438350715445125,27.80287754891569,20.615528128088304,15.652475842498529,12.041594578792296,10.0,12.0,12.165525060596439,10.770329614269007,20.615528128088304,13.416407864998739,18.601075237738275,19.1049731745428,19.849433241279208,22.825424421026653,20.808652046684813,18.027756377319946,14.317821063276353,13.341664064126334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1245154965971,20.396078054371138,15.132745950421556,15.0,14.0,10.04987562112089,5.385164807134504,6.708203932499369,1.4142135623730951,6.4031242374328485,5.830951894845301,10.0,14.142135623730951,21.095023109728988,26.1725046566048,25.80697580112788,28.284271247461902,33.83784863137726,29.0,29.5296461204668,23.323807579381203,19.697715603592208,23.706539182259394,13.601470508735444,11.313708498984761,10.04987562112089
147.27525250360293,24.0,29.068883707497267,31.32091952673165,44.41846462902562,32.449961479175904,37.589892258425,33.421549934136806,35.35533905932738,28.30194339616981,19.1049731745428,18.788294228055936,13.416407864998739,9.055385138137417,11.40175425099138,12.529964086141668,12.529964086141668,15.811388300841896,18.384776310850235,23.53720459187964,16.76305461424021,19.313207915827967,19.235384061671343,21.213203435596427,16.278820596099706,17.029386365926403,15.132745950421556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.235384061671343,16.0312195418814,20.615528128088304,21.587033144922902,13.0,10.198039027185569,6.082762530298219,7.280109889280518,2.8284271247461903,7.0710678118654755,7.810249675906654,11.661903789690601,23.706539182259394,26.248809496813376,30.4138126514911,28.653097563788805,27.784887978899608,25.0,31.144823004794873,24.698178070456937,24.20743687382041,26.627053911388696,17.69180601295413,11.045361017187261,14.560219778561036,11.313708498984761
147.27525250360293,24.0,34.0147027033899,39.11521443121589,40.11234224026316,37.8549864614954,33.54101966249684,34.52535300326414,33.83784863137726,21.840329667841555,18.788294228055936,19.313207915827967,12.041594578792296,11.40175425099138,9.433981132056603,12.083045973594572,11.704699910719626,12.649110640673518,18.0,20.8806130178211,21.0,21.02379604162864,22.090722034374522,21.02379604162864,16.1245154965971,19.6468827043885,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4928556845359,18.973665961010276,18.35755975068582,14.317821063276353,13.038404810405298,10.295630140987,7.211102550927978,5.0,6.082762530298219,8.54400374531753,8.54400374531753,14.142135623730951,19.6468827043885,25.317977802344327,22.135943621178654,29.068883707497267,30.14962686336267,26.019223662515376,27.16615541441225,24.73863375370596,24.73863375370596,17.26267650163207,15.297058540778355,15.264337522473747,13.416407864998739,18.384776310850235
147.27525250360293,24.0,26.248809496813376,36.87817782917155,30.805843601498726,33.54101966249684,30.463092423455635,31.76476034853718,25.632011235952593,20.615528128088304,17.26267650163207,15.231546211727817,11.180339887498949,5.830951894845301,5.385164807134504,12.0,12.165525060596439,15.231546211727817,16.55294535724685,21.540659228538015,18.35755975068582,20.248456731316587,20.591260281974,16.15549442140351,19.72308292331602,13.45362404707371,11.661903789690601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.806248474865697,16.278820596099706,12.041594578792296,13.038404810405298,11.313708498984761,12.727922061357855,3.1622776601683795,2.23606797749979,5.656854249492381,9.848857801796104,12.206555615733702,16.278820596099706,17.804493814764857,24.166091947189145,26.0,28.0178514522438,27.294688127912362,26.1725046566048,25.0,24.20743687382041,20.518284528683193,19.209372712298546,15.231546211727817,10.0,15.033296378372908,19.209372712298546
147.27525250360293,24.0,37.53664875824692,38.41874542459709,42.01190307520001,41.617304093369626,41.182520563948,36.05551275463989,31.38470965295043,28.0178514522438,24.186773244895647,17.88854381999832,15.264337522473747,14.142135623730951,12.041594578792296,13.601470508735444,17.88854381999832,19.6468827043885,24.698178070456937,20.615528128088304,26.419689627245813,26.92582403567252,23.853720883753127,22.67156809750927,17.46424919657298,18.027756377319946,17.69180601295413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.811388300841896,16.278820596099706,17.0,14.142135623730951,12.041594578792296,10.816653826391969,8.06225774829855,7.0,7.0710678118654755,8.06225774829855,6.324555320336759,17.11724276862369,26.627053911388696,30.364452901377952,29.154759474226502,34.438350715445125,30.528675044947494,35.510561809129406,32.802438933713454,34.713109915419565,27.018512172212592,19.79898987322333,17.88854381999832,17.26267650163207,18.439088914585774,27.202941017470888
64.0,4.0,39.81205847478876,39.05124837953327,37.21558813185679,36.05551275463989,33.06055050963308,30.066592756745816,29.068883707497267,21.37755832643195,18.027756377319946,15.297058540778355,13.038404810405298,8.94427190999916,11.40175425099138,14.212670403551895,16.0312195418814,20.8806130178211,20.12461179749811,18.0,19.313207915827967,26.30589287593181,19.0,20.615528128088304,17.46424919657298,17.029386365926403,16.278820596099706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.804493814764857,19.313207915827967,21.18962010041709,17.204650534085253,17.0,12.206555615733702,5.830951894845301,10.295630140987,5.0990195135927845,6.4031242374328485,14.142135623730951,17.69180601295413,24.839484696748443,25.495097567963924,32.01562118716424,29.68164415931166,29.206163733020468,32.202484376209235,26.832815729997478,21.470910553583888,24.413111231467404,28.30194339616981,23.021728866442675,16.1245154965971,20.615528128088304,24.331050121192877
